1,pop1,pop1_type,pop2,pop2_type,dist_km,fst
2,ZAM15-05_C4_IIIa,C4_IIIa,TAN16-03_C4_IIIa,C4_IIIa,464.7131618,0.312731413
3,ZAM17-01_C4_IIIa,C4_IIIa,TAN16-03_C4_IIIa,C4_IIIa,727.9166057,0.288228055
4,ZAM19-30_C4_IIIb,C4_IIIb,TAN16-03_C4_IIIa,C4_IIIa,588.3676927,0.276651354
5,ZAM19-32_C4_IIIb,C4_IIIb,TAN16-03_C4_IIIa,C4_IIIa,306.2668742,0.293920215
6,ZAM19-33_C4_IIIb,C4_IIIb,TAN16-03_C4_IIIa,C4_IIIa,271.8029946,0.279238822
7,ZAM19-55_C4_IIIb,C4_IIIb,TAN16-03_C4_IIIa,C4_IIIa,344.021847,0.294778629
8,ZAM19-56_C4_IIIb,C4_IIIb,TAN16-03_C4_IIIa,C4_IIIa,338.9372177,0.282348528
9,ZAM20-91_C4_IIIb,C4_IIIb,TAN16-03_C4_IIIa,C4_IIIa,954.3596708,0.304517715
14,ZAM19-30_dec,dec,TAN16-03_C4_IIIa,C4_IIIa,588.3676927,0.716112645
15,ZAM19-50_dec,dec,TAN16-03_C4_IIIa,C4_IIIa,385.7734107,0.69504405
16,ZAM20-114_dec,dec,TAN16-03_C4_IIIa,C4_IIIa,633.2971388,0.721244278
17,ZAM20-75_dec,dec,TAN16-03_C4_IIIa,C4_IIIa,1061.262049,0.713887477
23,ZAM17-18_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,147.2419964,0.724950501
24,ZAM17-20_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,71.26351151,0.725045755
25,ZAM17-22_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,137.8895191,0.724264934
26,ZAM19-30_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,588.3676927,0.731742899
27,ZAM19-31_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,328.4635971,0.719481827
28,ZAM19-32_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,306.2668742,0.720637822
29,ZAM19-33_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,271.8029946,0.723207522
30,ZAM19-42_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,209.5375813,0.720517732
31,ZAM19-44_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,231.4545321,0.723461675
32,ZAM19-53_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,383.90277,0.721526679
33,ZAM19-55_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,344.021847,0.723170804
34,ZAM19-56_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,338.9372177,0.723829952
35,ZAM19-59_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,234.8567363,0.721119548
36,ZAM20-106_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,667.2684329,0.726894658
37,ZAM20-108_ere,ere,TAN16-03_C4_IIIa,C4_IIIa,628.8872896,0.737588569
